country,iso3,exchange_mic,universe_source,official_primary,aggregator_secondary,repair_source,notes
South Africa,ZAF,XJSE,JSE current issuer/instrument directory,JSE SENS / authorized IDP feed,AfricanFinancials where coverage exists,Issuer IR,"Use authorized JSE data product for mass commercial SENS; do not make public-page scraping the production transport."
Nigeria,NGA,VERIFY_FROM_ISO_MIC,NGX current equity universe,NGX disclosures / released financials,AfricanFinancials,Issuer IR,"Keep Annual Report distinct from audited statements-only."
Kenya,KEN,XNAI,NSE current equity universe,NSE issuer disclosures,AfricanFinancials,Issuer IR,"Aggregator first where permitted; exchange/IR for gaps."
Ghana,GHA,VERIFY_FROM_ISO_MIC,GSE listed companies,GSE press releases / issuer disclosures,AfricanFinancials,Issuer IR,"GSE publishes issuer annual-report announcements."
Botswana,BWA,VERIFY_FROM_ISO_MIC,BSE listed-equity directory,BSE X-News company disclosures,AfricanFinancials,Issuer IR,"BSE X-News contains integrated/annual report disclosures."
Namibia,NAM,VERIFY_FROM_ISO_MIC,NSX issuer list,NSX announcements / SENS-linked disclosures,AfricanFinancials,Issuer IR,"NSX announcements frequently expose ISIN, FY end and issuer report URL."
Zimbabwe,ZWE,VERIFY_FROM_ISO_MIC,ZSE active company directory,ZSE disclosures,AfricanFinancials,Issuer IR,"ZSE directory exposes ticker, status, ISIN and year-end for many issuers."
Zambia,ZMB,VERIFY_FROM_ISO_MIC,LuSE listed companies,LuSE Annual Reports archive,AfricanFinancials,Issuer IR,"Official LuSE annual-report archive is a strong primary source."
Uganda,UGA,VERIFY_FROM_ISO_MIC,USE listed securities,USE issuer disclosures,AfricanFinancials,Issuer IR,"Measure issuer-level exchange coverage; aggregator likely important."
Tanzania,TZA,XDAR,DSE listed companies,DSE Financial Statements archive,AfricanFinancials,Issuer IR,"Official DSE archive exposes annual reports and English variants."
Malawi,MWI,VERIFY_FROM_ISO_MIC,MSE listed companies,MSE Published Accounts,AfricanFinancials,Issuer IR,"Official MSE accounts feed exposes current annual reports."
Mauritius,MUS,VERIFY_FROM_ISO_MIC,SEM listed companies,SEM issuer announcements / financial publications,AfricanFinancials,Issuer IR,"Use SEM as official verification and aggregator for historical backfill."
Rwanda,RWA,VERIFY_FROM_ISO_MIC,RSE listed securities,RSE issuer disclosures,AfricanFinancials,Issuer IR,"Do not confuse RSE exchange annual reports with issuer annual reports."
Eswatini,SWZ,VERIFY_FROM_ISO_MIC,ESE listed securities,ESE issuer financial results / disclosures,AfricanFinancials where available,Issuer IR,"ESE profiles expose ISIN, ticker and year-end."
Seychelles,SYC,VERIFY_FROM_ISO_MIC,MERJ listed securities,MERJ issuer disclosures,Aggregator where coverage exists,Issuer IR,"Small market; direct exchange/issuer adapter likely sufficient."
Sierra Leone,SLE,VERIFY_FROM_ISO_MIC,SLSE current-listed equities,SLSE issuer disclosures,Aggregator where coverage exists,Issuer IR,"Sparse market; expect more manual/IR repair."
