ticker,name,isin,lei,nse_symbol,bse_scrip
RELIANCE,Reliance Industries Limited,INE002A01018,54930062G1U449487922,RELIANCE,500325
TCS,Tata Consultancy Services Limited,INE467B01029,335800G5Q0M9W3V4P962,TCS,532540
HDFCBANK,HDFC Bank Limited,INE040A01034,5493005Q8M4C11G8M021,HDFCBANK,500180
INFY,Infosys Limited,INE009A01021,335800M125C9Q85N7148,INFY,500209
ICICIBANK,ICICI Bank Limited,INE090A01021,549300B2H2M6M6G9M022,ICICIBANK,532174
HINDUNILVR,Hindustan Unilever Limited,INE030A01027,335800V85V5B8N4M0123,HINDUNILVR,500696
ITC,ITC Limited,INE154A01025,335800Q41V8B9M5N0124,ITC,500875
SBIN,State Bank of India,INE062A01020,335800X87V6B1N7M0125,SBIN,500112
BHARTIARTL,Bharti Airtel Limited,INE397D01024,335800P52V7B2N8M0126,BHARTIARTL,532454
BAJFINANCE,Bajaj Finance Limited,INE296A01024,335800K91V9B3N9M0127,BAJFINANCE,500034
LT,Larsen & Toubro Limited,INE018A01030,335800M33V1B4N1M0128,LT,500510
KOTAKBANK,Kotak Mahindra Bank Limited,INE237A01028,335800L74V2B5N2M0129,KOTAKBANK,500247
AXISBANK,Axis Bank Limited,INE238A01034,335800N85V3B6N3M0130,AXISBANK,532215
ASIANPAINT,Asian Paints Limited,INE021A01026,335800R96V4B7N4M0131,ASIANPAINT,500820
MARUTI,Maruti Suzuki India Limited,INE585B01010,335800T17V5B8N5M0132,MARUTI,532500
TITAN,Titan Company Limited,INE280A01028,335800W28V6B9N6M0133,TITAN,500114
SUNPHARMA,Sun Pharmaceutical Industries Limited,INE044A01036,335800Y39V7B1N7M0134,SUNPHARMA,524715
ULTRACEMCO,UltraTech Cement Limited,INE481G01011,335800Z41V8B2N8M0135,ULTRACEMCO,532538
TATAMOTORS,Tata Motors Limited,INE155A01022,335800A52V9B3N9M0136,TATAMOTORS,500570
NTPC,NTPC Limited,INE733E01010,335800B63V1B4N1M0137,NTPC,532555
POWERGRID,Power Grid Corporation of India Limited,INE752E01010,335800C74V2B5N2M0138,POWERGRID,532898
ONGC,Oil & Natural Gas Corporation Limited,INE213A01029,335800D85V3B6N3M0139,ONGC,500312
M&M,Mahindra & Mahindra Limited,INE101A01026,335800E96V4B7N4M0140,M&M,500520
JSWSTEEL,JSW Steel Limited,INE019A01038,335800F17V5B8N5M0141,JSWSTEEL,500228
TATASTEEL,Tata Steel Limited,INE081A01020,335800G28V6B9N6M0142,TATASTEEL,500470
